date,coin_id,price,volume,market_cap,daily_return_pct,price_7d_ma,volume_7d_ma
2025-04-09,bitcoin,76329.090356324,47812787635.22632,1515042499757.3254,,,
2025-04-10,bitcoin,82622.17029546302,87408220482.11568,1640567909122.172,8.244667805893258,,
2025-04-11,bitcoin,79596.35732250768,41213520154.25157,1580023209138.0547,-3.662228869242723,,
2025-04-12,bitcoin,83439.28818043756,39813566443.76779,1655868880454.1702,4.828023526703795,,
2025-04-13,bitcoin,85305.09728392666,22428929482.06912,1693600655371.0874,2.236127781260877,,
2025-04-14,bitcoin,83600.82010054543,28731125717.93436,1658923208081.8682,-1.997860898873105,,
2025-04-15,bitcoin,84523.4524914945,33155578229.343517,1677843510120.269,1.1036164356275968,82202.32514724271,42937675449.24406
2025-04-16,bitcoin,83656.49248858042,25084671427.622566,1660749023283.0562,-1.0257034909942009,83249.09688042219,39690801705.30066
2025-04-17,bitcoin,84105.77942167096,26948109141.803364,1670497569762.047,0.5370616430659725,83461.04104130903,31053642942.3989
2025-04-18,bitcoin,84930.90857600998,19323821375.14309,1686226810049.1836,0.9810611827305804,84223.11979180937,27926543116.811974
2025-04-19,bitcoin,84433.75017215389,9550691272.782003,1676373197914.5117,-0.5853680505621295,84365.18579062598,23603275235.242577
2025-04-20,bitcoin,85126.66244301842,12635983530.804457,1690090596771.3958,0.8206579353063681,84339.69509906766,22204282956.49048
2025-04-21,bitcoin,85073.16544858096,12625843856.313684,1689008667806.3804,-0.0628439937643166,84550.03014878703,19903528404.830383
2025-04-22,bitcoin,87452.04699068287,40070025414.28289,1735703747771.06,2.796277215686449,84968.40079152821,20891306574.107433
2025-04-23,bitcoin,93576.1658857398,53841992235.36636,1858587811717.8289,7.002830815051597,86385.4969911224,24999495260.92798
2025-04-24,bitcoin,93605.45230873208,39901515879.65954,1858660302322.256,0.03129688282810239,87742.59311784543,26849981937.764576
2025-04-25,bitcoin,93872.81422867288,30031246761.09345,1864298110563.3408,0.2856264387879559,89020.008211083,28379614135.75748
2025-04-26,bitcoin,94773.11200643536,39336184715.04292,1882121595175.8464,0.9590612417023747,90497.05990169464,32634684627.50904
2025-04-27,bitcoin,94644.06637120109,15445392739.787264,1879131951239.1848,-0.13616270744123415,91856.68903429215,33036028800.220875
2025-04-28,bitcoin,93809.33781968225,15926259371.05796,1862772247122.064,-0.8819660687918618,93104.71365873519,33507516730.89863
2025-04-29,bitcoin,95030.60645474444,31913814736.53902,1887067388174.348,1.3018625474253698,94187.36501074399,32342343776.935215
2025-04-30,bitcoin,94256.35946318062,25882629766.278942,1870818389258.404,-0.8147343476467617,94284.53552180695,28348149138.49416
2025-05-01,bitcoin,94235.75331048168,26541700309.366142,1871350362569.0933,-0.021861816875057283,94374.57852205691,26439604057.023674
2025-05-02,bitcoin,96426.94522273028,30207566405.468838,1914884389769.3943,2.3252235327595905,94739.45437835083,26464792577.648724
2025-05-03,bitcoin,96855.5681343944,23276376191.483967,1923251765866.1472,0.44450533061486386,95036.9481109164,24170534217.14031
2025-05-04,bitcoin,95922.86842404422,13797554863.642817,1904894886394.57,-0.9629799590416765,95219.6341184654,23935128806.262524
2025-05-05,bitcoin,94326.62048529249,14903122945.616686,1872812442453.032,-1.6640952934134923,95293.53164212403,23788966459.770916
2025-05-06,bitcoin,94758.8237105546,24086456278.20385,1882511286487.958,0.45819856901319067,95254.70553581117,22670772394.294464
2025-05-07,bitcoin,96854.53198815876,23348052607.071877,1923643840814.599,2.2116233565811383,95625.87303937948,22308689942.979168
2025-05-08,bitcoin,97026.493769668,64376174032.08048,1927134557858.269,0.17754644824494736,96024.55024783468,27713614760.50979
2025-05-09,bitcoin,103076.27555512934,50020047720.65604,2047883753852.6929,6.235185412164812,96974.45458103453,30543969234.10796
2025-05-10,bitcoin,102962.540456923,40800894903.23446,2045046445523.524,-0.11034071380033872,97846.87919853863,33047471907.21517
2025-05-11,bitcoin,104630.8792994166,21558992540.04244,2077132539531.3464,1.6203357406391783,99090.88075216326,34156248718.129406
2025-05-12,bitcoin,103994.061616746,27389436049.454792,2065659960471.3652,-0.6086326397470643,100471.94377094232,35940007732.96342
2025-05-13,bitcoin,102876.8304286011,43090605819.36596,2044347271866.171,-1.074322101450642,101631.65901637753,38654886238.84372
2025-05-14,bitcoin,104184.49039270742,33861432519.50822,2069356072124.024,1.271092780228944,102678.79593131307,40156797654.90606
2025-05-15,bitcoin,103594.42575090707,28398245846.798244,2057798367292.564,-0.5663651466510822,103617.07192863293,35017093628.437164
2025-05-16,bitcoin,103708.8513642364,31823340473.339912,2060142559914.034,0.11045537682159434,103707.43990136251,32417564021.677715
2025-05-17,bitcoin,103556.03493982446,25887953182.14765,2057725640290.077,-0.14735138071796383,103792.2248274913,30287143775.808174
2025-05-18,bitcoin,103212.36483885496,18950056010.479057,2050318521477.805,-0.331868732874141,103589.57990455392,29914438557.299114
2025-05-19,bitcoin,106030.6376831359,30744060179.802963,2104889720872.8303,2.7305573791290394,103880.51934260961,30393670575.920288
2025-05-20,bitcoin,105629.41580436694,43339734153.75087,2098485415895.0496,-0.3784018351072893,104273.7458248619,30429260337.975273
2025-05-21,bitcoin,106786.71995834044,36393687094.25122,2121778617273.821,1.0956267675634068,104645.49290566659,30791010991.50999
2025-05-22,bitcoin,109665.86371625264,60722883113.84,2178838967665.505,2.6961627429285207,105512.84118643023,35408816315.3731
2025-05-23,bitcoin,111560.356938144,52218408239.45193,2214712145787.249,1.7275140665404587,106634.48483984564,38322397424.81767
2025-05-24,bitcoin,107216.66856870624,49251745837.96465,2131595896624.441,-3.89357697362529,107157.43250111445,41660082089.93438
2025-05-25,bitcoin,107831.36374380375,27128230116.51716,2142540077685.22,0.5733205324353063,107817.2894875357,42828392676.51125
2025-05-26,bitcoin,108861.81037744328,29652659665.048733,2163072841533.6133,0.9556093866045945,108221.74272957961,42672478317.26066
2025-05-27,bitcoin,109377.71513263127,27950577137.918888,2173059855839.4187,0.47390793281800736,108757.2140621888,40474027314.99895
2025-05-28,bitcoin,109068.45694901443,38978783508.88622,2167551887130.0076,-0.282743320466905,109083.17648942795,40843326802.80394
2025-05-29,bitcoin,107838.18431100152,29794278037.284943,2143342706888.307,-1.1279820696354248,108822.07943153495,36424954649.01036
2025-05-30,bitcoin,105745.41660358038,38279231892.56757,2101348752694.3137,-1.9406555486743637,107991.3736694544,34433643742.3126
2025-05-31,bitcoin,104010.91956242644,39680060337.61021,2066830946978.064,-1.6402574190579222,107533.40952570015,33066260099.40482
2025-06-01,bitcoin,104687.50742934884,20432694555.09522,2080467809295.7693,0.6504969572125763,107084.28719506375,32109755019.201687
2025-06-02,bitcoin,105710.00593822816,17721500507.53389,2101178071590.9749,0.9767149242419171,106634.029418033,30405303710.98528
2025-06-03,bitcoin,105884.74263221148,26313843058.73954,2104229403094.936,0.1652981592730418,106135.03334654447,30171484556.8168
2025-06-04,bitcoin,105434.47745144973,25925661121.080395,2095294001281.48,-0.4252408511070782,105615.89341832093,28306752787.130253
2025-06-05,bitcoin,104812.9182188067,25812143562.79796,2083148839111.2068,-0.5895218031779392,105183.71254800739,27737876433.63211
2025-06-06,bitcoin,101650.7387545425,39711941132.0234,2020294099992.368,-3.0169749282839997,104598.7585695734,27942549182.1258
2025-06-07,bitcoin,104409.74967959142,29897390978.090103,2075175500201.4253,2.71420646701952,104655.73430059697,26545024987.908638
2025-06-08,bitcoin,105681.4546141758,17749731308.73042,2100553336902.508,1.2179944291476064,104797.72675557225,26161744524.142242
2025-06-09,bitcoin,105692.24740699006,16044679696.270103,2100654769399.4705,0.010212570269452215,104795.18982253826,25922198693.961704
2025-06-10,bitcoin,110261.57485948496,38222993297.50514,2191877481230.9468,4.323238046873712,105420.4515692916,27623505870.92822
2025-06-11,bitcoin,110212.73252109604,36303839182.734825,2189350055406.3333,-0.044296790111297835,106103.05943638392,29106102736.87885
2025-06-12,bitcoin,108679.9760916168,30338936631.626648,2159529375273.496,-1.3907253675847775,106655.49627535678,29752787460.997234
2025-06-13,bitcoin,105979.22902375912,35865159511.38857,2107911943768.2988,-2.485045695612742,107273.85202810203,29203247229.477974
2025-06-14,bitcoin,106045.56440819205,49471015505.74361,2107973087547.792,0.06259281657734483,107507.53984647356,31999479304.857048
2025-06-15,bitcoin,105482.90611628916,17916412455.866283,2097486541223.27,-0.530581637282912,107479.1757753469,32023290897.305023
2025-06-16,bitcoin,105554.49383061715,16568441852.649668,2098499110552.6216,0.06786664964375522,107459.49669300788,32098114062.502106
2025-06-17,bitcoin,106951.2720181497,32095957011.724205,2127895470544.7175,1.3232768561933117,106986.59628710286,31222823164.533405
2025-06-18,bitcoin,104683.42479835715,38603212010.88944,2080968120976.949,-2.1204490390798636,106196.69518385445,31551304997.12692
2025-06-19,bitcoin,104722.695052907,30339326410.154945,2081677732261.6853,0.03751334523636185,105631.36932118163,31551360679.773815
2025-06-20,bitcoin,104690.65002458123,18063282658.152294,2081355279873.408,-0.030599888887106186,105447.28660701335,29008235415.025776
2025-06-21,bitcoin,103290.105144757,30632751225.407444,2054120245608.2085,-1.3377936611296048,105053.64956937976,26317054803.549187
2025-06-22,bitcoin,101532.5683847329,21644463198.71953,2017415966695.528,-1.7015538492878735,104489.31560772887,26849633481.099648
2025-06-23,bitcoin,100852.58264648831,51287142390.02526,2005179769771.7349,-0.6697217937676414,103817.61400999619,31809447843.581875
2025-06-24,bitcoin,105511.62437933136,50011797128.6837,2097741233586.592,4.619655352976015,103611.95006159357,34368853574.57609
2025-06-25,bitcoin,105976.06929808448,31704641076.941063,2107110352429.8032,0.44018364941795785,103796.61356155461,33383343441.15489
2025-06-26,bitcoin,107238.53045016268,30468274982.034847,2132141147369.0017,1.1912700295830136,104156.01861830543,33401764665.709164
2025-06-27,bitcoin,106984.01253775664,24320699663.15122,2127292099754.93,-0.23733812029839152,104483.64183447334,34295681380.70901
2025-06-28,bitcoin,107078.91560644074,25194306261.888832,2129020567385.9597,0.08870771102420516,105024.90047185672,33518760671.63492
2025-06-29,bitcoin,107331.58548463575,8960877693.57604,2134239999929.6584,0.23596604127340548,105853.33148612858,31706819885.185852
2025-06-30,bitcoin,108396.61631317894,14881078675.366829,2155183166489.813,0.9922809056944759,106931.05058137009,26505953640.234646
2025-07-01,bitcoin,107132.79910701896,22489515582.41552,2130471589191.581,-1.1659194254814764,107162.64697103974,22574199133.62491
2025-07-02,bitcoin,105613.39974163056,25033160828.30909,2100087563077.9324,-1.418239211570127,107110.83703440348,21621130526.677483
2025-07-03,bitcoin,108824.44423167944,36395184773.06136,2163835371770.0977,3.040376029844971,107337.39614604872,22467831925.395557
2025-07-04,bitcoin,109602.20483914016,29892049537.628605,2179664531219.9343,0.7146929285528181,107711.42361767494,23263739050.320896
2025-07-05,bitcoin,108040.8919400104,24248906784.57383,2148601712907.3435,-1.4245269074844358,107848.84880818489,23128681982.133038
